Uconn,1,0
Stetson,16,1
FAU,8,2
Northwestern,9,3
San Diego St,5,4
UAB,12,5
Auburn,4,6
Yale,13,7
BYU,6,8
Duquesne,11,9
Illinois,3,10
Morehead St,14,11
Washington St,7,12
Drake,10,13
Iowa State,2,14
S Dakota St,15,15
North Carolina,1,16
Wagner,16,17
Mississippi St,8,18
Michigan St,9,19
Saint Mary's,5,20
Grand Canyon,12,21
Alabama,4,22
Charleston,13,23
Clemson,6,24
New Mexico,11,25
Baylor,3,26
Colgate,14,27
Dayton,7,28
Nevada,10,29
Arizona,2,30
Long Beach St,15,31
Houston,1,32
Longwood,16,33
Nebraska,8,34
Texas A&M,9,35
Wisconsin,5,36
James Madison,12,37
Duke,4,38
Vermont,13,39
Texas Tech,6,40
NC State,11,41
Kentucky,3,42
Oakland,14,43
Florida,7,44
Colorado,10,45
Marquette,2,46
Western KY,15,47
Purdue,1,48
Grambling,16,49
Utah State,8,50
TCU,9,51
Gonzaga,5,52
McNeese,12,53
Kansas,4,54
Samford,13,55
South Carolina,6,56
Oregon,11,57
Creighton,3,58
Akron,14,59
Texas,7,60
Colorado St,10,61
Tennessee,2,62
Saint Peter's,15,63
